,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
1126,Audioraamat - Kuidas saada isaks,https://www.hooandja.ee/projekt/audioraamat-kuidas-saada-isaks,Kaur Kender Kunst,Kunst,https://www.hooandja.ee/users/kaurkender,192,577,2013
1125,Matemaatika õhtuõpik,https://www.hooandja.ee/projekt/matemaatika-ohtuopik,Kristjan Korjus Trükis,Trükis,https://www.hooandja.ee/users/korjus,179,13213,2013
1123,Tuuli Vellingu debüütplaat,https://www.hooandja.ee/projekt/tuuli-vellingu-debuutplaat,Tuuli Velling Muusika,Muusika,https://www.hooandja.ee/users/tuuli1,123,1975,2013
1124,Aitame eesti noortel režissööridel Euroopas kanda kinnitada!,https://www.hooandja.ee/projekt/aitame-eesti-noortel-rezissooridel-euroopas-kanda-kinnitada,Kati Jägel Film & Foto,Film & Foto,https://www.hooandja.ee/users/katix,100,1007,2013
1122,Lucky Laika pildid ja nagid,https://www.hooandja.ee/projekt/lucky-laika-pildid-ja-nagid,Lucky Laika Disain,Disain,https://www.hooandja.ee/users/tarieli-lipartia,107,1496,2013
1121,"Projekt:  Juss Piho Maaliraamat ""Äraseletatud pildid""",https://www.hooandja.ee/projekt/projekt-juss-piho-maaliraamat-araseletatud-pildid,Juss Piho Trükis,Trükis,https://www.hooandja.ee/users/juss,101,6045,2013
1120,Jaapani mokuhanga näitused ja töötoad Eestis,https://www.hooandja.ee/projekt/ksulograafia-mokuhanga-naitus-ja-tootoad,Tarrvi Laamann Kunst,Kunst,https://www.hooandja.ee/users/tarrvi,103,1346,2013
1119,"Illustratsioonide näitus ""Tint ja Taevas"" Tallinna Teletornis",https://www.hooandja.ee/projekt/illustratsioonide-naitus-tint-ja-taevas,britt.samoson Kunst,Kunst,https://www.hooandja.ee/users/brittsamoson,103,2566,2013
1118,Paabli muusikavideo,https://www.hooandja.ee/projekt/paabli-muusikavideo,Sandra Sillamaa Muusika,Muusika,https://www.hooandja.ee/users/sandra1,106,2651,2013
1117,Kinoprojektori töölepanek,https://www.hooandja.ee/projekt/elektriteater,Elektriteater Film & Foto,Film & Foto,https://www.hooandja.ee/users/info107,103,1852,2013
1116,"Kogukonnamuusikal ""Veterahva needus""",https://www.hooandja.ee/projekt/kogukonnamuusikal-veterahva-needus,Anneliis Kõiv Teater,Teater,https://www.hooandja.ee/users/anneliiskoiv,105,1581,2013
1115,Rändteater Vaba Vanker,https://www.hooandja.ee/projekt/randteater-vaba-vanker,Kadri Sprenk Teater,Teater,https://www.hooandja.ee/users/kadrisprenk-0,104,3625,2013
1114,Eesti Jooksu Kullafond,https://www.hooandja.ee/projekt/eesti-jooksu-kullafond,kristo.reinsalu Trükis,Trükis,https://www.hooandja.ee/users/kristoreinsalu,103,9668,2013
1113,Külalaulik 1. Rahvalaule sajanditaguseilt Eesti külatänavailt,https://www.hooandja.ee/projekt/kulalaulik-1-rahvalaule-sajanditaguseilt-eesti-kulatanavailt,Lauri Õunapuu Muusika,Muusika,https://www.hooandja.ee/users/lauri5,106,2112,2013
